GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-service,com.irfan.microservices.inventory,InventoryServiceApplication,5,37,0,0,2,11,1,3,1,3
inventory-service,com.irfan.microservices.inventory,InstallOpenTelemetryAppender,0,10,0,0,0,5,0,2,0,2
inventory-service,com.irfan.microservices.inventory.service,InventoryService,0,200,1,9,0,42,1,12,0,8
inventory-service,com.irfan.microservices.inventory.config,KafkaTopicConfig,0,15,0,0,0,7,0,4,0,4
inventory-service,com.irfan.microservices.inventory.controller,InventoryController,0,61,0,0,0,11,0,5,0,5
inventory-service,com.irfan.microservices.inventory.listener,InventorySagaListener,0,89,0,0,0,24,0,2,0,2
